,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
5105,板橋區,房地(土地+建物),新北市板橋區中正路４５５號十五樓,19.46,住,,,1100524,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,122.55000000000001,3,2,2,有,有,15350000,125255,,0.0,0,預售屋、或土地及建物分件登記案件；,RPURMLMLKHHGFAF08DA,72.86,2.81,4.56,有,
5106,板橋區,房地(土地+建物),新北市板橋區中正路４７３號十七樓,14.15,住,,,1100428,土地1建物1車位0,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,89.26,2,2,1,有,有,11510000,128949,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTRMLLLKHHGFAF87DA,49.36,3.1,5.93,有,
5108,板橋區,房地(土地+建物),新北市板橋區中正路４７１號二十一樓,19.51,住,,,1101001,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,122.71000000000001,3,2,2,有,有,16430000,133893,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPSMLLLKHHGFAF57DA,73.02,2.81,4.56,有,
5110,板橋區,房地(土地+建物),新北市板橋區中正路４５９號二樓,19.77,住,,,1101026,土地1建物1車位0,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,124.61,3,2,2,有,有,15850000,127197,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRSMLLLKHHGFAF77DA,75.93,1.06,4.56,有,
5112,板橋區,房地(土地+建物),新北市板橋區中正路４６７號二樓,19.59,住,,,1101029,土地1建物1車位0,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,123.48,3,2,2,有,有,15610000,126417,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVRMLTKKHHGFAF78DA,75.17,1.06,4.56,有,
5114,板橋區,房地(土地+建物),新北市板橋區中正路４７１號三樓,19.51,住,,,1101006,土地1建物1車位0,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,122.71000000000001,3,2,2,有,有,15680000,127781,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXRMLTKKHHGFAF98DA,73.02,2.81,4.56,有,
5116,板橋區,房地(土地+建物),新北市板橋區中正路４５３號二十一樓,14.15,住,,,1100913,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,89.26,2,2,1,有,有,11550000,129397,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRRMLTKKHHGFAF38DA,49.36,3.1,5.93,有,
5118,板橋區,房地(土地+建物),新北市板橋區中正路４６５號七樓,14.28,住,,,1090426,土地1建物1車位0,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,89.96,2,2,1,有,有,10750000,119498,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVPMLTKKHHGFAF58DA,49.39,3.4,6.12,有,
5120,板橋區,房地(土地+建物),新北市板橋區中正路４６５號二樓,13.59,住,,,1100927,土地1建物1車位0,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,85.47,2,2,1,有,有,10750000,125775,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTOMLTKKHHGFAF28DA,49.78,0.0,6.12,有,
5122,板橋區,房地(土地+建物),新北市板橋區中正路４７５號二十一樓,14.15,住,,,1100922,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,88.97999999999999,2,2,1,有,有,11650000,130928,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVOMLTKKHHGFAF48DA,49.33,3.35,5.62,有,
