,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
10,文山區,房地(土地+建物),臺北市文山區景興路２３７號十二樓,5.43,商,,,1110127,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840802,60.09,1,2,1,有,有,12000000,199700,,0.0,0,陽台外推；,RPWNMLQKLHHGFAA77DA,49.18,2.03,5.54,有,
17,萬華區,房地(土地+建物)+車位,臺北市萬華區西園路一段８０號五樓,8.98,商,,,1110212,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961119,112.41,2,2,1,有,有,19800000,181404,坡道機械,11.53,1500000,陽台外推；,RPTNMLTJLHHGFBA77DA,57.67,3.82,7.17,有,
19,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０５號二十二樓之７,5.2,商,,,1110206,土地1建物1車位1,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,105.25,2,1,1,有,有,17800000,216601,坡道平面,33.69,2300000,,RPVPMLPKLHHGFBA87DA,40.7,1.28,5.23,有,5.0
22,內湖區,房地(土地+建物),臺北市內湖區大湖山莊街１７６巷１８號七樓,30.33,住,,,1101018,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,134.26999999999998,2,2,2,有,有,30720000,228793,,0.0,0,,RPPQMLRKKHHGFCA57DA,74.82,4.46,10.63,有,8.0
24,中山區,房地(土地+建物),臺北市中山區松江路１１８號十八樓之５,8.08,商,,,1080806,土地2建物1車位0,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,125.31,2,2,2,有,有,55749364,444892,,0.0,0,1.總價含工程加帳＄49364元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPOPMLNLKHHGFCA07DA,75.8,0.0,2.34,有,
29,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段９號八樓,18.54,住,,,1110123,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,154.98000000000002,1,2,2,有,有,42000000,321676,坡道平面,33.74,3000000,,RPUQMLNJLHHGFCA67DA,67.08,9.75,4.35,有,
42,中山區,房地(土地+建物),臺北市中山區錦州街５０號七樓之１９,5.27,商,,,1110110,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,58.73,2,1,1,有,有,9900000,168568,,0.0,0,陽台外推；,RPSPMLRKLHHGFCA87DA,40.65,0.0,6.08,有,18.0
43,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段４５０巷２２弄１０號十四樓、１４號十四樓,33.35,住,,,1110213,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,199.0,5,3,2,有,有,41300000,239130,坡道平面,38.0,2800000,,RPSQMLRKLHHGFCA97DA,106.96,0.0,15.47,有,
48,南港區,房地(土地+建物)+車位,臺北市南港區園區街８號十樓之１,16.88,住,,,1110116,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980611,112.43,2,2,1,有,有,28100000,272158,坡道機械,16.53,2000000,,RPUOMLPLKHHGFDA87DA,54.78,5.7,5.66,有,19.0
66,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２７號七樓,34.94,住,,,1101215,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.43,3,2,2,有,有,54880000,271239,坡道平面,30.21,2200000,,RPUOMLPLKHHGFEA97DA,111.16,5.7,9.76,有,
78,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２９號四樓,33.7,住,,,1101217,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,218.09,3,2,2,有,有,50260000,253673,坡道平面,30.21,2600000,,RPRNMLQKLHHGFEA67DA,104.01,10.5,7.99,有,
79,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號十一樓,40.04,住,,,1101216,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,282.90999999999997,4,2,2,有,有,66200000,275967,坡道平面,60.42,4800000,,RPTNMLQKLHHGFEA87DA,124.72,5.7,14.67,有,
80,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２７號十一樓,38.65,住,,,1110107,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,275.19,4,2,2,有,有,63080000,273223,坡道平面,60.42,4400000,,RPUNMLQKLHHGFEA97DA,118.63,5.7,15.72,有,
95,中山區,房地(土地+建物),臺北市中山區南京東路三段１０６號十二樓,15.88,商,,,1110110,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,167.74,0,0,0,無,有,68900000,410755,,0.0,0,毛胚屋；,RPPOMLQKLHHGFCA47EA,90.43,6.38,8.97,有,
96,中山區,房地(土地+建物),臺北市中山區林森北路４１３號十樓之６,6.29,商,,,1110123,土地3建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,66.03,2,2,1,有,有,10530000,159473,,0.0,0,,RPOPMLRKLHHGFCA57EA,50.89,0.0,3.01,有,31.0
106,南港區,房地(土地+建物),臺北市南港區八德路四段８７１號十五樓之４,4.71,商,,,1110221,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,43.72,1,1,1,有,有,8700000,198948,,0.0,0,,RPSQMLLLKHHGFDA57EA,22.89,2.42,5.03,有,
107,松山區,房地(土地+建物)+車位,臺北市松山區敦化北路１５５巷１００弄１６號九樓之１,69.55,住,,,1110115,土地4建物1車位2,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881022,350.03,4,2,2,有,有,123880000,353913,坡道平面,72.68,0,,RPTNMLKKLHHGFDA27EA,192.18,0.0,19.76,有,
110,北投區,房地(土地+建物)+車位,臺北市北投區天母西路１１５號十九樓,51.29,商,,,1110210,土地2建物1車位3,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081226,398.55,0,2,4,有,無,97880000,335150,坡道平面,130.68,8100000,毛胚屋；,RPQOMLOJJIGGFEA27EA,149.21,13.88,15.27,有,
114,北投區,房地(土地+建物),臺北市北投區中和街３６６號八樓之６,11.51,,,,1110124,土地1建物1車位0,八層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870624,101.99,3,2,1,有,有,8000000,78439,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLQKLHHGFEA38EA,78.68,1.46,8.55,有,
119,大安區,房地(土地+建物)+車位,臺北市大安區信義路四段２５８號十五樓,10.7,商,,,1110309,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711106,187.73,3,2,2,有,有,50000000,266340,坡道平面,0.0,0,陽台外推；頂樓加蓋；,RPTNMLRKLHHGFFA18EA,155.55,0.0,10.55,有,
140,中山區,房地(土地+建物)+車位,臺北市中山區林森北路５８５號十一樓之６,16.36,商,,,1110305,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,188.38,3,2,2,有,有,40620000,248794,坡道平面,39.18,3500000,,RPVPMLMLKHHGFCA77EA,88.24,0.0,11.27,有,
144,內湖區,房地(土地+建物)+車位,臺北市內湖區潭美街１１７號十一樓之１,41.8,住,,,1110130,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990315,224.71,3,2,2,有,有,41500000,184682,坡道平面,32.4,0,,RPROMLSKLHHGFCA87EA,109.48,5.38,12.26,有,
148,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段２６５號十一樓之３,12.44,商,,,1110123,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,142.07,1,2,1,有,有,34600000,278525,坡道平面,26.82,2500000,,RPWNMLOKKHHGFCA77EA,72.11,0.0,4.64,有,52.0
149,中山區,房地(土地+建物)+車位,臺北市中山區雙城街１３巷９號八樓之１,18.95,商,,,1101224,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010327,249.25,4,2,2,有,有,53000000,238515,坡道平面,39.62,3000000,其他增建；,RPSNMLOKKHHGFCA37EA,121.82,6.37,13.33,有,
159,大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段４５２號,32.4,住,,,1101205,土地1建物1車位2,一層，夾層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,256.44,1,2,2,有,有,62500000,322766,坡道平面,82.32,6300000,,RPVNMLOKLHHGFFA97DA,113.11,0.0,6.21,有,
166,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１１號四樓,19.85,住,,,1070912,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,139.38,2,1,1,有,有,16700000,152430,坡道平面,41.63,1800000,本案係預售屋109年07月01日換約金額新台幣18400000元正,RPRPMLLKLHHGFEA37DA,53.32,2.47,8.03,有,
168,北投區,房地(土地+建物)+車位,臺北市北投區承德路七段３８８號十六樓,31.13,住,,,1110301,土地1建物1車位2,十六層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841221,264.58,4,2,2,有,有,41500000,156852,坡道平面,0.0,0,,RPQNMLLKLHHGFEA07DA,142.73,3.75,22.02,有,64.0
169,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷３號十六樓,17.24,住,,,1080106,土地1建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,94.15,2,1,1,有,有,15970000,169623,,0.0,0,本案係預售屋,RPQPMLPLKHHGFEA67DA,51.54,2.05,7.86,有,
170,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷５號十樓,21.68,住,,,1070910,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,148.87,2,1,1,有,有,20680000,170459,坡道平面,41.63,2400000,本案係預售屋,RPSPMLPLKHHGFEA87DA,56.29,5.18,8.52,有,
171,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號十五樓,23.77,住,,,1070828,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,2,2,2,有,有,23700000,181566,坡道平面,41.63,2110000,本案係預售屋,RPVQMLPLKHHGFEA28DA,65.09,6.11,6.42,有,
172,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷７號八樓,25.34,住,,,1071030,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,168.26,3,2,2,有,有,22820000,165995,坡道平面,41.63,1800000,本案係預售屋,RPTNMLMJLHHGFEA37DA,69.82,6.41,6.42,有,
173,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷７號十六樓,25.34,住,,,1071028,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,168.26,3,2,2,有,有,25050000,178868,坡道平面,41.63,2400000,本案係預售屋,RPROMLMJLHHGFEA27DA,69.82,6.41,6.42,有,
174,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷３號六樓,19.33,住,,,1070720,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,135.78,2,1,1,有,有,16100000,147955,坡道平面,41.63,2170000,本案係預售屋,RPVNMLLLKHHGFEA57DA,51.54,2.05,7.86,有,
175,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷３號九樓,19.33,住,,,1070608,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,135.78,1,1,1,有,有,16600000,154222,坡道平面,41.63,2080000,本案係預售屋,RPPOMLLLKHHGFEA07DA,51.54,2.05,7.86,有,
176,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷９號十一樓,19.85,住,,,1070611,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,138.31,2,1,1,有,有,18000000,163426,坡道平面,41.63,2200000,本案係預售屋,RPVSMLLLKHHGFEA08DA,53.32,1.77,8.03,有,
186,信義區,房地(土地+建物)+車位,臺北市信義區信義路五段１２７號十七樓之１０,14.11,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110213,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,118.75,1,1,1,有,有,30500000,256820,坡道平面,32.68,0,其他增建；,RPRQMLKKLHHGFDA27DA,48.12,4.26,4.77,有,69.0
188,松山區,房地(土地+建物)+車位,臺北市松山區敦化北路１０號十四樓,30.06,住,,,1110218,土地2建物1車位2,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1071126,402.93,4,2,3,有,有,188000000,539746,坡道平面,69.44,8000000,,RPSSMLLLKHHGFDA67DA,179.67,15.06,21.33,有,70.0
193,中山區,房地(土地+建物),臺北市中山區雙城街１９巷８號十四樓之２,7.14,商,,,1110307,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,68.0,1,1,1,有,有,16400000,241176,,0.0,0,,RPXNMLSKLHHGFCA28DA,39.7,0.63,5.18,有,
199,中山區,房地(土地+建物)+車位,臺北市中山區德惠街１８號七樓之５,21.77,商,,,1110211,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041221,241.73000000000002,3,2,2,有,有,58000000,239927,坡道平面,0.0,0,含傢俱設備費；,RPVNMLRKLHHGFCA97DA,121.5,4.31,14.44,有,72.0
203,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段１０３巷１６號十七樓,100.79,住,,,1101217,土地1建物1車位3,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070619,646.3199999999999,0,0,0,無,有,229500000,419230,坡道平面,119.64,8700000,,RPTSMLLKLHHGFCA67DA,280.84,2.0,44.73,有,
209,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十三樓之８,5.8,商,,,1070120,土地2建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,104.28999999999999,1,2,1,有,有,42457467,444392,坡道機械,13.25,2000000,1.總價含工程減帳＄42533元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPTQMLRJLHHGFCA97DA,54.28,0.0,2.95,有,
211,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十二樓之７,9.66,商,,,1080903,土地2建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,174.91,2,2,2,有,有,74559000,477422,坡道平面,26.49,3700000,1.總價含工程減帳＄21000元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPSQMLOJLHHGFCA57DA,90.15,0.0,2.15,有,
212,中山區,房地(土地+建物)+車位,臺北市中山區植福路２８６巷２８號三十二樓,63.09,都市：其他:娛樂區(供觀光旅館使用)。,,,1100429,土地1建物1車位2,三十二層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,548.11,0,0,0,無,有,304880000,632805,坡道平面,75.8,6000000,,RPOSMLMJLHHGFCA17DA,298.09,0.0,34.51,有,
214,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號十四樓之９,5.82,商,,,1070315,土地2建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,117.53999999999999,1,2,1,有,有,42189500,427122,坡道平面,26.49,3300000,1.總價含工程減帳＄10500元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPRNMLQLKHHGFCA47DA,54.28,0.0,2.95,有,
215,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十三樓之７,9.81,商,,,1070829,土地2建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,175.22,2,2,2,有,有,73934466,472228,坡道平面,26.49,3700000,1.總價含工程加帳＄234466元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPVNMLQLKHHGFCA87DA,91.66,0.0,0.0,有,
225,中正區,房地(土地+建物)+車位,臺北市中正區中華路一段９５巷７號二樓,23.93,商,,,1110214,土地1建物1車位1,二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050622,334.09000000000003,3,2,3,有,無,79600000,276486,坡道平面,61.02,4100000,,RPROMLPLKHHGFBA37DA,151.75,4.59,30.1,有,
235,中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段１３８號六樓,30.81,商,,,1101208,土地2建物1車位3,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100520,416.64,3,2,3,有,有,118880000,355378,坡道平面,115.89,12000000,,RPRNMLLLLHHGFAA86DA,180.37,7.76,20.18,有,
246,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路６０號九樓之１,9.33,商,,,1101010,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000422,148.4,2,2,2,有,有,28500000,192049,坡道平面,23.9,0,,RPSOMLKMKIGGFBA07DA,72.47,1.9,9.08,有,
248,萬華區,房地(土地+建物),臺北市萬華區西寧南路１２８號七樓之３,5.7,商,,,1100817,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960810,52.18,1,1,1,有,有,10800000,206976,,0.0,0,陽台外推；,RPXPMLTJLHHGFBA38DA,32.03,0.0,4.0,有,88.0
249,大同區,房地(土地+建物)+車位,臺北市大同區華亭街１號十樓,15.58,商,,,1110119,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100611,199.25,0,1,2,有,有,42000000,244688,坡道平面,37.82,2500000,,RPRPMLSKLHHGFBA77DA,95.31,4.72,8.94,有,
251,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段２０９巷２６號八樓,17.67,住,,,1110215,土地1建物1車位1,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090430,155.84,3,2,2,有,有,35580000,268632,坡道平面,33.07,2600000,,RPPNMLKLLHHGFAA56DA,70.07,6.69,7.66,有,
257,中山區,房地(土地+建物),臺北市中山區松江路１１８號二十四樓,11.03,商,,,1090619,土地2建物1車位0,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,174.54000000000002,2,2,1,有,有,82405996,472132,,0.0,0,1.總價含工程加帳＄155996元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPSRMLRLJHHGFCA97DA,103.12,0.0,7.28,有,
258,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十四樓之１,6.88,商,,,1090619,土地2建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,132.68,1,0,2,有,有,53550000,470383,坡道平面,26.49,3600000,1.總價不含面積找補款。預售屋、或土地及建物分件登記案件；,SPSRMLRLJHHGFCA08DA,64.23,0.0,1.96,有,
259,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十三樓之３,8.22,商,,,1080330,土地2建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,151.07,2,2,2,有,有,60479000,458171,坡道平面,26.49,3400000,1.總價含工程減帳＄21000元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPTNMLQLKHHGFCA67DA,76.76,0.0,0.0,有,
260,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十三樓之５,8.11,商,,,1080330,土地2建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,151.8,2,2,2,有,有,60479000,457896,坡道平面,26.49,3100000,1.總價含工程減帳＄21000元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPUNMLQLKHHGFCA77DA,75.8,0.0,2.34,有,
266,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９１號十樓,28.6,住,,,1081017,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,176.72,3,2,2,有,無,39700000,254676,坡道平面,31.83,2800000,預售屋、或土地及建物分件登記案件；,RPSQMLOKLHHGFCA67DA,88.61,0.0,7.47,有,
267,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９１號十一樓,28.6,住,,,1081017,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,176.72,3,2,2,有,無,39900000,256056,坡道平面,31.83,2800000,預售屋、或土地及建物分件登記案件；,RPTQMLOKLHHGFCA77DA,88.61,0.0,7.47,有,
268,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８５號八樓,20.45,住,,,1090414,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,134.04000000000002,3,2,2,有,無,27250000,244594,坡道平面,31.83,2250000,預售屋、或土地及建物分件登記案件；,RPVQMLOKLHHGFCA97DA,63.34,0.0,3.8,有,
269,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８５號十三樓,20.45,住,,,1081205,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,134.04000000000002,3,2,2,有,無,28940000,257705,坡道平面,31.83,2600000,預售屋、或土地及建物分件登記案件；,RPWQMLOKLHHGFCA08DA,63.34,0.0,3.8,有,
270,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１９３號十一樓,20.45,住,,,1090811,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,134.04000000000002,3,2,2,有,無,28280000,248312,坡道平面,31.83,2900000,預售屋、或土地及建物分件登記案件；,RPPNMLPKLHHGFCA17DA,63.34,0.0,3.8,有,
271,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８３號十三樓,38.88,住,,,1081205,土地2建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101125,262.55,4,2,3,有,無,56260000,254714,坡道平面,63.66,5600000,預售屋、或土地及建物分件登記案件；,RPPPMLQKLHHGFCA47DA,120.5,0.0,10.93,有,
273,中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段２８巷１號五樓,19.63,,,,1110128,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780517,186.22,3,2,2,有,有,37880000,229442,坡道平面,32.02,2500000,陽台外推；其他增建；,RPUQMLQKLHHGFCA08DA,147.72,1.5,13.65,有,
287,信義區,房地(土地+建物)+車位,臺北市信義區松山路２０４巷７號十四樓,13.66,商,,,1110130,土地3建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760713,126.75,2,2,2,有,有,26000000,205128,其他,0.0,0,有車位，但每年抽籤，不固定位置，平面或機械車位，依抽籤而定。,RPTQMLLLLHHGFDA67DA,93.57,0.0,12.73,有,
289,信義區,房地(土地+建物),臺北市信義區信義路五段１５０巷３３０號七樓之９,4.57,住,,,1110227,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980408,32.94,1,0,1,有,有,9120000,276867,,0.0,0,,RPQOMLMLLHHGFDA27DA,17.33,1.04,1.89,有,99.0
290,松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段３號六樓之２,16.39,住,,,1110120,土地2建物1車位2,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100203,270.75,3,2,2,有,無,109350000,515722,坡道平面,73.26,7500000,,RPPTMLMLLHHGFDA67DA,107.63,7.35,15.09,有,
311,大安區,房地(土地+建物),臺北市大安區光復南路６２６號九樓之４,8.61,商,,,1110121,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690119,124.13999999999999,3,2,2,有,有,24400000,196552,,0.0,0,,RPPNMLQLKHHGFFA57DA,107.54,0.0,6.03,有,
319,中正區,房地(土地+建物)+車位,臺北市中正區忠孝東路二段１２６號四樓之３,14.75,商,,,1110121,土地2建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990629,151.79,1,1,1,有,有,50200000,330720,塔式車位,11.03,0,,RPQQMLLLLHHGFBA27EA,77.89,9.31,9.47,有,
321,中山區,房地(土地+建物),臺北市中山區建國北路二段１３９號八樓之２,14.94,住,,,1110124,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751014,136.71,2,2,2,有,有,28500000,208470,,0.0,0,陽台外推；其他增建；,RPUNMLOKKHHGFCA57EA,93.9,0.0,18.18,有,
322,中山區,房地(土地+建物),臺北市中山區松江路２號十一樓之１,2.71,商,,,1110220,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701208,38.53,1,1,1,有,有,7920000,205554,,0.0,0,,RPVNMLOKKHHGFCA67EA,28.88,0.0,0.0,有,109.0
332,信義區,房地(土地+建物),臺北市信義區基隆路一段１７號四樓之２,8.91,商,,,1110218,土地5建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,83.28,1,1,1,有,有,20000000,240154,,0.0,0,,RPXQMLLKKHHGFDA97EA,50.85,0.95,4.17,有,
334,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４６９號三樓,10.84,商,,,1110207,土地2建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,126.49,2,2,1,有,有,37680000,367178,坡道平面,32.04,3000000,,RPOQMLMJLHHGFDA17EA,58.72,4.91,2.95,有,
336,南港區,房地(土地+建物),臺北市南港區松河街２９８號三樓,11.22,商,,,1110117,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970306,87.67,2,1,1,有,有,17900000,204175,,0.0,0,,RPPQMLLLLHHGFDA37EA,48.07,3.71,10.74,有,112.0
338,松山區,房地(土地+建物),臺北市松山區光復北路１９０巷９號十六樓,28.18,住,,,1110108,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910208,110.97,2,2,1,有,有,29800000,268541,,0.0,0,陽台外推；,RPSRMLLLKHHGFDA67EA,62.38,1.09,8.6,有,
343,北投區,房地(土地+建物)+車位,臺北市北投區東華街一段４９２號四樓之１,23.97,住,,,1110223,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950720,167.17000000000002,3,2,2,有,有,31000000,185440,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLLHHGFEA27EA,69.14,2.65,9.01,有,
